# GNUBANDS: Utility for SIESTA to transform bands output into Gnuplot format
#
#                                                  Emilio Artacho, Feb. 1999
# --------------------------------------------------------------------------
# E_F               =    -5.3390
# k_min, k_max      =     0.0000    2.1178
# E_min, E_max      =   -17.5867  137.1841
# Nbands, Nspin, Nk =    104     1   101
#
#        k            E
# --------------------------------------------------------------------------
      1.097131    -13.482000
      1.118652    -13.491400
      1.140172    -13.497700
      1.161693    -13.500600
      1.183213    -13.500200
      1.204734    -13.496400
      1.227560    -13.694400
      1.250386    -13.886300
      1.273212    -13.898900
      1.296038    -13.886000
      1.318864    -13.875200
      1.341690    -13.871700
      1.364516    -13.882100
      1.387341    -13.913400
      1.410167    -13.971200
      1.432993    -14.058100
      1.452558    -13.963000
      1.472123    -13.909000
      1.491689    -13.917800
      1.511254    -13.993700
      1.530819    -14.120000
      1.550384    -14.276900
      1.569949    -14.450600
      1.589514    -14.633000
      1.609079    -14.694000
      1.628644    -14.631400
      1.648209    -14.567300
      1.667774    -14.502300
      1.687339    -14.437600
      1.706905    -14.374100
      1.726470    -14.313000
      1.746035    -14.255000
      1.765600    -14.201100
      1.785165    -14.151700
      1.804730    -14.107000
      1.824295    -14.066800
      1.843860    -14.030800
      1.863425    -13.998000
      1.882990    -13.967700
      1.902555    -13.938700
      1.922121    -13.910200
      1.941686    -13.881000
      1.961251    -13.850300
      1.980816    -13.817500
      2.000381    -13.781900
      2.019946    -13.743100
      2.039511    -13.700800
      2.059076    -13.655000
      2.078641    -13.605600
      2.098206    -13.552700
      2.117771    -13.498500


      0.000000    -12.670000
      0.022365    -12.683300
      0.044730    -12.679400
      0.067094    -12.664500
      0.089459    -12.636600
      0.111824    -12.596100
      0.134189    -12.544100
      0.156553    -12.482300
      0.178918    -12.412900
      0.201283    -12.339000
      0.223648    -12.264500
      0.246012    -12.194600
      0.268377    -12.135700
      0.290742    -12.095700
      0.313107    -12.082600
      0.335471    -12.103000
      0.357836    -12.159900
      0.380201    -12.251000
      0.402566    -12.370600
      0.424930    -12.511400
      0.447295    -12.666500
      0.469660    -12.830300
      0.492025    -12.998300
      0.514389    -13.167200
      0.536754    -13.334400
